roll_no,gender,programme,level,specialisation,ssc_p,hsc_p,degree_p,backlogs,internships,projects,certifications,coding_score,communication_score,workex,status,salary_lpa
22CS001,Female,B.Sc CS,UG,Cyber Security,66.15,63.7,63.29,1,1,2,2,51,5.1,Yes,Not Placed,
22CS002,Male,MCA,PG,Full Stack,67.39,66.04,69.56,0,1,4,2,66,6.1,No,Placed,5.9
22CS003,Female,M.Sc CS,PG,Cloud & DevOps,99.0,80.57,77.29,0,3,3,2,74,5.4,No,Placed,6.06
22CS004,Female,B.Sc CS,UG,Full Stack,94.02,84.98,78.64,0,1,3,2,60,7.6,No,Placed,4.93
22CS005,Male,MCA,PG,AI & Data Science,71.88,75.88,71.8,1,1,2,2,64,5.8,No,Not Placed,
22CS006,Female,MCA,PG,AI & Data Science,72.36,63.63,69.36,0,1,3,2,55,4.4,No,Placed,5.22
22CS007,Female,B.Sc CS,UG,Cyber Security,64.51,68.02,67.87,1,1,2,2,95,5.7,Yes,Placed,6.24
22CS008,Female,MCA,PG,AI & Data Science,56.92,62.52,64.28,2,1,3,2,59,6.4,Yes,Placed,5.32
22CS009,Male,B.Sc CS,UG,Full Stack,74.83,75.4,73.66,1,1,0,2,89,6.9,No,Placed,6.5
22CS010,Male,MCA,PG,Cloud & DevOps,66.02,68.64,75.97,1,0,3,2,66,9.4,Yes,Placed,5.99
22CS011,Male,M.Sc CS,PG,AI & Data Science,75.15,65.88,62.17,2,0,4,2,62,5.0,No,Not Placed,
22CS012,Female,M.Sc CS,PG,AI & Data Science,60.0,58.58,66.23,2,0,3,2,43,5.8,No,Not Placed,
22CS013,Female,B.Sc CS,UG,Cloud & DevOps,68.38,70.17,62.53,1,3,1,2,53,6.9,Yes,Placed,5.42
22CS014,Female,MCA,PG,Full Stack,77.49,80.57,77.21,0,1,1,2,73,6.4,Yes,Placed,5.81
22CS015,Male,B.Sc CS,UG,AI & Data Science,79.66,64.26,72.85,1,0,4,2,89,5.2,Yes,Placed,6.29
22CS016,Male,B.Sc CS,UG,Cloud & DevOps,80.17,78.36,76.97,0,3,4,2,73,3.7,Yes,Placed,4.94
22CS017,Female,B.Sc CS,UG,Cloud & DevOps,62.8,73.36,72.7,0,0,4,2,86,5.4,No,Not Placed,
22CS018,Male,M.Sc CS,PG,Full Stack,84.55,78.07,72.6,0,1,4,2,75,4.5,No,Not Placed,
22CS019,Female,B.Sc CS,UG,Cyber Security,68.0,72.77,71.79,0,2,6,2,89,3.3,Yes,Placed,5.5
22CS020,Female,MCA,PG,AI & Data Science,82.33,73.88,71.32,0,2,2,2,65,4.9,No,Placed,6.01
22CS021,Female,M.Sc CS,PG,AI & Data Science,75.89,73.5,68.95,0,2,3,2,97,4.5,No,Placed,7.18
22CS022,Male,B.Sc CS,UG,Full Stack,62.24,57.88,61.57,2,1,1,2,51,6.9,No,Not Placed,
22CS023,Female,B.Sc CS,UG,AI & Data Science,72.84,59.8,64.67,2,3,4,2,50,7.0,No,Placed,6.17
22CS024,Female,B.Sc CS,UG,Cyber Security,79.65,81.3,73.71,0,0,1,2,50,4.9,No,Not Placed,
22CS025,Female,M.Sc CS,PG,Cloud & DevOps,82.13,72.25,68.13,1,3,2,2,96,5.8,No,Placed,7.09
22CS026,Male,MCA,PG,AI & Data Science,74.59,70.96,65.14,0,2,2,2,72,3.1,No,Not Placed,
22CS027,Male,B.Sc CS,UG,Full Stack,91.32,75.14,74.65,0,2,6,2,63,5.5,No,Not Placed,
22CS028,Male,MCA,PG,AI & Data Science,86.08,72.13,73.46,0,1,3,2,85,6.9,No,Placed,6.92
22CS029,Male,B.Sc CS,UG,Cloud & DevOps,73.43,71.85,72.04,2,0,1,2,76,7.6,Yes,Not Placed,
22CS030,Female,MCA,PG,AI & Data Science,83.5,74.39,76.49,0,2,5,2,97,5.1,No,Placed,8.72
22CS031,Female,MCA,PG,Full Stack,95.34,86.88,80.48,0,1,1,2,51,8.3,No,Placed,5.37
22CS032,Female,M.Sc CS,PG,Full Stack,95.6,87.43,82.02,0,1,3,2,70,4.0,No,Not Placed,
22CS033,Male,M.Sc CS,PG,Full Stack,63.72,69.18,70.72,1,2,4,2,59,4.1,No,Placed,5.9
22CS034,Male,MCA,PG,Cyber Security,66.73,70.39,69.87,1,1,2,2,37,7.4,No,Not Placed,
22CS035,Male,B.Sc CS,UG,Cyber Security,90.85,90.89,80.41,0,1,3,2,87,9.5,No,Placed,6.56
22CS036,Male,B.Sc CS,UG,Full Stack,65.42,62.61,74.43,1,1,3,2,64,6.9,No,Placed,4.9
22CS037,Male,B.Sc CS,UG,Cyber Security,62.77,66.63,66.17,1,0,3,2,72,6.1,No,Not Placed,
22CS038,Male,BCA,UG,Cloud & DevOps,71.14,77.64,71.92,0,0,3,2,99,2.6,No,Placed,5.15
22CS039,Male,M.Sc CS,PG,Full Stack,80.2,83.34,79.74,0,0,3,2,67,3.0,No,Placed,4.39
22CS040,Female,M.Sc CS,PG,Full Stack,74.98,65.96,68.58,0,2,3,2,58,6.3,No,Placed,5.82
22CS041,Male,MCA,PG,AI & Data Science,69.49,68.94,63.74,1,1,6,2,61,5.6,No,Not Placed,
22CS042,Female,B.Sc CS,UG,Cyber Security,69.26,77.83,79.19,0,1,4,2,85,4.5,Yes,Placed,5.32
22CS043,Female,M.Sc CS,PG,Full Stack,68.88,73.03,71.44,0,1,0,2,58,6.4,No,Placed,5.49
22CS044,Male,B.Sc CS,UG,Full Stack,67.2,70.42,65.81,0,1,1,2,53,6.4,Yes,Placed,6.15
22CS045,Female,B.Sc CS,UG,AI & Data Science,98.82,85.57,84.1,0,2,3,2,90,8.1,No,Placed,7.34
22CS046,Female,M.Sc CS,PG,Cloud & DevOps,78.98,73.76,74.76,1,2,2,2,73,6.5,Yes,Placed,5.99
22CS047,Male,MCA,PG,Full Stack,84.87,80.63,71.32,2,1,4,2,37,8.5,No,Placed,4.7
22CS048,Male,M.Sc CS,PG,Cyber Security,71.11,70.15,77.2,0,2,3,2,53,6.2,No,Not Placed,
22CS049,Female,B.Sc CS,UG,AI & Data Science,74.14,72.95,74.4,1,1,3,2,89,6.1,Yes,Placed,6.3
22CS050,Male,M.Sc CS,PG,Cloud & DevOps,68.86,70.7,70.38,0,1,4,2,70,8.0,No,Placed,5.78
22CS051,Male,B.Sc CS,UG,AI & Data Science,49.48,55.95,67.93,2,2,1,2,52,4.3,No,Not Placed,
22CS052,Male,MCA,PG,AI & Data Science,62.22,69.49,70.33,1,1,4,2,62,10.0,No,Placed,6.32
22CS053,Female,M.Sc CS,PG,Cloud & DevOps,57.89,79.98,75.87,1,1,0,2,69,7.0,Yes,Placed,5.46
22CS054,Female,B.Sc CS,UG,Cloud & DevOps,53.5,52.23,56.7,0,0,3,2,65,6.5,No,Placed,4.66
22CS055,Female,B.Sc CS,UG,AI & Data Science,64.05,69.38,71.95,2,1,4,2,47,7.1,No,Not Placed,
22CS056,Female,B.Sc CS,UG,Full Stack,89.25,77.38,76.34,0,1,3,2,57,9.5,No,Placed,5.51
22CS057,Male,MCA,PG,Cyber Security,75.56,77.07,74.3,0,2,4,2,72,7.7,Yes,Placed,5.96
22CS058,Female,BCA,UG,Cloud & DevOps,88.91,81.55,73.77,2,1,2,2,66,3.7,No,Not Placed,
22CS059,Male,M.Sc CS,PG,Full Stack,80.11,80.57,76.86,0,1,2,2,78,8.8,No,Placed,6.97
22CS060,Male,M.Sc CS,PG,Full Stack,83.83,84.85,78.63,0,2,2,2,54,5.9,Yes,Placed,5.53
22CS061,Female,BCA,UG,Cyber Security,66.99,70.28,64.84,1,1,3,2,66,6.4,No,Not Placed,
22CS062,Male,B.Sc CS,UG,Cyber Security,81.24,83.19,72.03,0,2,5,2,81,4.3,Yes,Placed,5.32
22CS063,Female,MCA,PG,Cyber Security,83.29,65.55,69.59,0,0,2,2,71,7.0,No,Placed,5.85
22CS064,Female,B.Sc CS,UG,Full Stack,70.23,79.62,65.36,1,1,3,2,63,5.3,No,Not Placed,
22CS065,Female,BCA,UG,AI & Data Science,81.6,79.3,76.4,0,1,1,2,68,6.6,Yes,Placed,5.85
22CS066,Female,M.Sc CS,PG,Cloud & DevOps,81.66,83.13,75.97,0,2,3,2,57,6.0,No,Placed,6.57
22CS067,Female,M.Sc CS,PG,Cloud & DevOps,70.5,64.59,71.99,0,0,4,2,65,9.4,No,Not Placed,
22CS068,Male,MCA,PG,Cyber Security,64.77,63.54,64.15,0,2,1,2,78,9.4,No,Placed,6.6
22CS069,Male,B.Sc CS,UG,AI & Data Science,64.16,68.48,71.72,0,1,1,2,64,6.2,No,Placed,5.61
22CS070,Male,BCA,UG,AI & Data Science,76.87,74.58,71.16,0,1,4,2,53,6.4,No,Not Placed,
22CS071,Male,BCA,UG,Cyber Security,79.27,77.53,74.97,0,1,1,2,61,5.7,Yes,Placed,4.35
22CS072,Male,BCA,UG,AI & Data Science,68.07,75.7,76.37,1,0,3,2,72,8.2,No,Placed,6.19
22CS073,Female,B.Sc CS,UG,Cloud & DevOps,76.27,64.81,65.04,4,1,4,2,56,5.5,No,Not Placed,
22CS074,Male,B.Sc CS,UG,Full Stack,81.71,82.6,81.54,0,1,5,2,80,5.7,No,Placed,5.32
22CS075,Male,B.Sc CS,UG,Cyber Security,82.18,77.64,70.61,1,1,0,2,72,8.0,Yes,Placed,5.49
22CS076,Male,B.Sc CS,UG,Cloud & DevOps,91.52,81.63,78.16,1,2,5,2,83,5.5,Yes,Placed,5.55
22CS077,Male,BCA,UG,Full Stack,88.77,73.28,75.66,1,1,3,2,89,6.2,No,Placed,5.83
22CS078,Female,M.Sc CS,PG,Full Stack,65.99,71.41,73.49,0,0,2,2,81,3.5,Yes,Placed,4.86
